;ensembl_gene_id_version;baseMean;log2FoldChange;lfcSE;stat;pvalue;padj;AD3_5.1;AD3_5.2;AD3_5.3;840_5.1;840_5.2;840_5.3;AD2_5.1;AD2_5.2;AD2_5.3;external_gene_name;gene_biotype
1;ENSG00000000460.17;423.2580441;-0.212284666;0.096797767;65.50488407;5.97E-15;7.78E-14;384.0997591;372.2445022;374.7774379;318.887501;358.3633626;314.1541777;559.8433205;559.9770999;566.9752363;C1orf112;protein_coding
2;ENSG00000001036.14;692.1309138;0.288760908;0.081848722;22.75267971;1.15E-05;5.35E-05;656.4614065;649.2885427;666.7178026;756.8583044;853.846979;803.1342678;622.0481339;587.802049;633.0207387;FUCA2;protein_coding
3;ENSG00000001167.14;1253.371292;-0.277532352;0.078954667;39.36052117;2.84E-09;2.13E-08;1255.889818;1256.860029;1241.751854;1123.698813;1054.059374;923.8262683;1474.386428;1423.709894;1526.159149;NFYA;protein_coding
4;ENSG00000001460.18;68.90942763;0.759512628;0.186853168;16.86688436;0.000217472;0.000821032;45.39360789;48.13506494;49.86309259;82.31932983;89.17022638;106.4929416;50.29325338;75.35923705;73.15809501;STPG1;protein_coding
5;ENSG00000001497.16;1542.446784;-0.238093878;0.07516185;12.00473302;0.002472893;0.007554791;1601.579602;1621.616854;1675.239062;1258.766451;1481.403478;1403.931947;1556.443841;1579.065859;1703.973963;LAS1L;protein_coding
6;ENSG00000001561.7;135.1069271;-0.258166698;0.156941716;18.57689738;9.25E-05;0.000373065;146.6562717;97.33979799;124.6577315;111.0911344;97.58251188;109.1552651;195.8789869;158.8340842;174.7665603;ENPP4;protein_coding
7;ENSG00000001617.12;164.7139621;-0.073547879;0.134996272;77.00096848;1.90E-17;3.02E-16;231.6237941;211.7942857;216.3414824;204.5994994;164.8807959;204.9989126;75.43988007;82.31547431;90.43153411;SEMA3F;protein_coding
8;ENSG00000001626.15;37.00293592;1.180803426;0.237242459;58.62179687;1.86E-13;2.13E-12;33.75422125;33.1597114;32.97398059;77.52402906;50.47371304;78.09482383;15.88208001;8.115610143;3.048253959;CFTR;protein_coding
9;ENSG00000001629.10;973.7531926;0.308391237;0.076242154;16.38358207;0.000276917;0.001024524;871.7900593;847.177143;879.8423112;1143.679233;1042.282174;1055.167563;988.6594809;917.0639462;1018.116822;ANKIB1;protein_coding
10;ENSG00000001630.17;53.06597671;-1.596503796;0.238626321;44.88603882;1.79E-10;1.53E-09;72.16419716;69.52842714;71.57766517;31.16945498;10.93597116;10.64929416;82.05741341;69.56237266;59.94899452;CYP51A1;protein_coding
11;ENSG00000002016.18;339.231195;0.251196539;0.10282356;13.69550177;0.001061841;0.003497788;300.2961753;292.019394;271.834279;326.8796689;365.093191;356.7513543;385.1404404;379.114931;375.9513216;RAD52;protein_coding
12;ENSG00000002330.13;149.3645191;0.425633913;0.141200805;16.04253423;0.000328404;0.001198177;140.8365783;140.1265224;135.9171395;164.6386597;195.1650238;202.336589;111.1745601;140.2841182;113.8014811;BAD;protein_coding
13;ENSG00000002549.12;806.356268;-0.362895067;0.092379467;33.45000123;5.45E-08;3.51E-07;865.970366;814.0174316;808.2646461;740.0747517;598.9547281;592.8107082;901.3080408;979.6700816;956.1356584;LAP3;protein_coding
14;ENSG00000002745.13;10.26986398;1.326281615;0.298332514;20.55012839;3.45E-05;0.000149306;4.655754656;3.209004329;4.825460574;15.98433589;19.34825667;30.17300012;1.323506668;5.796864388;7.11259257;WNT16;protein_coding
