genes;day
C1orf112;Day 0
SEMA3F;Day 0
CYP51A1;Day 0
RAD52;Day 0
LASP1;Day 0
KLHL13;Day 0
DBNDD1;Day 0
TFPI;Day 0
NDUFAF7;Day 0
RBM5;Day 0
MTMR7;Day 0
SLC7A2;Day 0
PLXND1;Day 0
FKBP4;Day 0
RBM6;Day 0
ARHGAP33;Day 0
ST7;Day 0
MCUB;Day 0
DHX33;Day 0
LIG3;Day 0
RPAP3;Day 0
SPPL2B;Day 0
PRKAR2B;Day 0
MSL3;Day 0
GCFC2;Day 0
ZNF195;Day 0
MYCBP2;Day 0
ITGA3;Day 0
ZFX;Day 0
REX1BD;Day 0
CRLF1;Day 0
TMEM98;Day 0
TMEM132A;Day 0
TAC1;Day 0
MAP3K9;Day 0
RALA;Day 0
ETV1;Day 0
CCL26;Day 0
DBF4;Day 0
IFRD1;Day 0
LGALS14;Day 0
PAF1;Day 0
SCIN;Day 0
ARSD;Day 0
PNPLA4;Day 0
MARK4;Day 0
PROM1;Day 0
CCDC124;Day 0
MATK;Day 0
RPUSD1;Day 0
LUC7L;Day 0
CACNA2D2;Day 0
PIGQ;Day 0
CRAMP1;Day 0
TEAD3;Day 0
JARID2;Day 0
CDKL5;Day 0
CDK11A;Day 0
NADK;Day 0
AASS;Day 0
SS18L2;Day 0
CRY1;Day 0
ST3GAL1;Day 0
MMP25;Day 0
PKD1;Day 0
MAPK8IP2;Day 0
MED24;Day 0
SEC62;Day 0
UBE3C;Day 0
TENM1;Day 0
PAX7;Day 0
MLXIPL;Day 0
EEF1AKNMT;Day 0
CD9;Day 0
NCAPD2;Day 0
PHF7;Day 0
NISCH;Day 0
FUZ;Day 0
PRSS3;Day 0
CD4;Day 0
SCMH1;Day 0
FYN;Day 0
CLCN6;Day 0
MRC2;Day 0
TSPAN9;Day 0
ANOS1;Day 0
AKAP8L;Day 0
MBTD1;Day 0
SYT7;Day 0
ANLN;Day 0
WIZ;Day 0
QPCTL;Day 0
CEP68;Day 0
MAP4K3;Day 0
MBTPS2;Day 0
LTF;Day 0
KDM5D;Day 0
CALCOCO1;Day 0
MAN2B2;Day 0
PGM3;Day 0
RNF14;Day 0
DDX11;Day 0
TACC3;Day 0
UFL1;Day 0
MDH1;Day 0
MTMR11;Day 0
ZMYND11;Day 0
DPEP1;Day 0
BID;Day 0
NUDCD3;Day 0
IL20RA;Day 0
ATP2C1;Day 0
SLC38A5;Day 0
CNTN1;Day 0
CXorf56;Day 0
ATP1A2;Day 0
PRDM11;Day 0
SYT13;Day 0
CD74;Day 0
NCDN;Day 0
ADGRA2;Day 0
SAMD4A;Day 0
PLEKHB1;Day 0
SERPINB1;Day 0
NRXN3;Day 0
AQR;Day 0
CPS1;Day 0
FHL1;Day 0
GABRA1;Day 0
SLC45A4;Day 0
ZNF839;Day 0
GRAMD1B;Day 0
RB1CC1;Day 0
STRAP;Day 0
ABCC2;Day 0
EHD2;Day 0
DEPDC1;Day 0
RRAGD;Day 0
HSF2;Day 0
TOMM34;Day 0
SEC63;Day 0
VIM;Day 0
CD44;Day 0
BTN3A1;Day 0
IFNGR1;Day 0
VEZT;Day 0
POU2F2;Day 0
SNX1;Day 0
