,mirna,baseMean,cluster_mirna
885,hsa-miR-20a-5p,27460.2711080848,black
11861,hsa-miR-17-5p,17561.6659503743,black
11877,hsa-miR-93-5p,15264.122916397,black
504967,hsa-miR-30e-5p,5865.371699585747,black
7228,hsa-miR-425-5p,2076.50865148497,black
1293,hsa-miR-92b-3p,36955.28462703413,cyan
11085,hsa-miR-16-2-3p,1570.007564524493,cyan
131634,hsa-miR-374b-3p,527.3848229519083,cyan
75568,hsa-miR-641,136.699070836484,cyan
8314,hsa-miR-1278,87.46473659828358,cyan
3885,hsa-miR-25-3p,72951.83751130216,red
1246,hsa-miR-92a-3p,43191.53773174377,red
1170900,hsa-miR-151a-3p,20841.07809523064,red
176797,hsa-miR-130b-5p,9263.20196966119,red
190372,hsa-miR-140-3p,8702.618177619497,red
87179,hsa-miR-363-3p,121714.29553454267,tan
11906,hsa-miR-20b-5p,27374.233741200103,tan
938,hsa-miR-106a-5p,9987.076421860691,tan
222557,hsa-miR-708-5p,2138.65362535554,tan
242541,hsa-miR-339-5p,591.2065385751744,tan
491759,hsa-miR-21-5p,223585.09785326433,brown
330794,hsa-miR-100-5p,45908.62050242943,brown
221718,hsa-miR-152-3p,8129.452566505747,brown
201449,hsa-let-7e-5p,6748.960598156743,brown
223805,hsa-miR-501-3p,3821.249948173827,brown
305528,hsa-miR-96-5p,12739.840720567974,magenta
178403,hsa-miR-26b-5p,12090.414667360159,magenta
335140,hsa-miR-374b-5p,7554.403481827077,magenta
311366,hsa-miR-186-5p,6093.052757468145,magenta
180068,hsa-miR-361-5p,1522.0266537931036,magenta
183472,hsa-miR-199b-5p,2597.5679640823073,greenyellow
180152,hsa-miR-216b-5p,1543.7294999231005,greenyellow
185855,hsa-miR-454-3p,1456.0251188661698,greenyellow
243556,hsa-miR-130a-3p,1029.1720361823088,greenyellow
196350,hsa-miR-140-5p,823.2471449493402,greenyellow
312772,hsa-miR-183-5p,442371.8881781273,blue
191751,hsa-miR-182-5p,407962.83531656367,blue
185195,hsa-miR-30d-5p,80953.33062263318,blue
185194,hsa-miR-30a-5p,55884.021102201266,blue
330818,hsa-miR-532-5p,26113.01868371087,blue
406562,hsa-miR-18a-3p,758.380200475206,lightcyan
169486,hsa-miR-92a-1-5p,561.3061954626713,lightcyan
35685,hsa-miR-92a-2-5p,285.3620288214287,lightcyan
4032,hsa-miR-32-3p,139.24945217403666,lightcyan
32287,hsa-miR-19b-1-5p,26.878240329640303,lightcyan
29931,hsa-miR-374a-3p,658.8168856197714,midnightblue
17640,hsa-miR-103a-3p,306.218170365961,midnightblue
20422,hsa-miR-3679-5p,40.16582822410079,midnightblue
3956,hsa-miR-3174,34.430339937284444,midnightblue
13815,hsa-miR-4429,20.445781626823035,midnightblue
774,hsa-miR-372-3p,17710.40824384637,turquoise
3769,hsa-miR-200c-3p,3234.7389396545727,turquoise
442416,hsa-miR-4521,2463.189208755893,turquoise
3763,hsa-miR-1323,2278.2383670291465,turquoise
54245,hsa-miR-516b-5p,1126.0973040820136,turquoise
304145,hsa-miR-143-3p,1383.8902188725233,salmon
259171,hsa-miR-139-5p,1186.9768267478332,salmon
489022,hsa-miR-486-5p,193.6242441394363,salmon
485381,hsa-miR-577,179.4674313584927,salmon
827552,hsa-miR-766-3p,173.4648004896217,salmon
452317,hsa-miR-148a-3p,331155.9760071556,yellow
3939,hsa-miR-222-3p,21587.767740289168,yellow
175707,hsa-miR-296-3p,5143.821168470006,yellow
34103,hsa-miR-371a-5p,2274.003477774273,yellow
12803,hsa-miR-1298-5p,1937.3255128516366,yellow
82400,hsa-miR-204-5p,3409.427534743324,grey60
888397,hsa-miR-135b-5p,2334.635287344593,grey60
8165,hsa-miR-193a-5p,188.42849714731202,grey60
14513,hsa-miR-204-3p,62.494067114898904,grey60
6177,hsa-miR-548ah-5p,37.4708487217198,grey60
178360,hsa-miR-27b-3p,101559.32625463462,green
313496,hsa-miR-125a-5p,16759.2124328686,green
285792,hsa-let-7i-5p,11385.32258758919,green
285791,hsa-let-7g-5p,8352.183823434309,green
180233,hsa-miR-128-3p,7632.695028415898,green
330841,hsa-miR-99a-5p,19400.648116063498,pink
180076,hsa-miR-340-5p,14812.0189872542,pink
246106,hsa-miR-146b-5p,10547.12460504374,pink
240799,hsa-miR-149-5p,5565.387693497299,pink
213932,hsa-miR-342-3p,2970.088857749811,pink
17015,hsa-miR-302a-5p,553947.6585945156,purple
923,hsa-miR-302b-3p,325316.926353767,purple
925,hsa-miR-302d-3p,36439.66227290176,purple
922,hsa-miR-302a-3p,26720.079659825165,purple
3965,hsa-miR-221-3p,22245.7645025067,purple
