,genes,cluster,hierachical_cluster
0,NTNG1,black,3
1,EVI5,black,3
2,DUSP6,black,3
3,C3orf70,black,3
4,GNAQ,black,3
5,PDE4D,black,3
6,AHR,black,3
7,COL1A2,black,3
8,GINM1,black,3
9,COPS7A,black,3
10,DYNLT3,black,3
11,LBH,black,3
12,UBE2Q2,black,3
13,FNDC3B,black,3
14,GNS,black,3
15,SLC4A4,black,3
16,PDE4DIP,black,3
17,PRKAA1,black,3
18,RAB1A,black,3
19,NDUFA10,black,3
20,NCOA7,black,3
21,SLC46A3,black,3
22,MYO9A,black,3
23,SH3GL2,black,3
24,SP100,black,3
25,CORO2B,black,3
26,COQ10B,black,3
27,FIBP,black,3
28,PRRG4,black,3
29,HS3ST4,black,3
30,ITGB8,black,3
31,RAI2,black,3
32,NTRK2,black,3
33,EMC7,black,3
34,SNX17,black,3
35,CD164,black,3
36,GOLGA1,black,3
37,YPEL2,black,3
38,ITSN2,black,3
39,FAM81A,black,3
40,HES1,black,3
41,TANC1,black,3
42,TMCC1,black,3
43,BCL3,black,3
44,ATP1B1,black,3
45,AGFG1,black,3
46,CNEP1R1,black,3
47,UBE2Z,black,3
48,RTN3,black,3
49,FAR1,black,3
50,CDC37L1,black,3
51,KLHL20,black,3
52,ELOVL4,black,3
53,MFF,black,3
54,NR4A2,black,3
55,KLF4,black,3
56,MEMO1,black,3
57,EVI5L,black,3
58,SORBS2,black,3
59,CAB39L,black,3
60,ST3GAL1,black,3
61,PCMT1,black,3
62,KIF1B,black,3
63,PLEKHB2,black,3
64,DLX1,black,3
65,EPHA5,black,3
66,SPRYD3,black,3
67,KLHL2,black,3
68,PRKCE,black,3
69,BACE1,black,3
70,CRIM1,black,3
71,HCN2,black,3
72,PAG1,black,3
73,KIF5A,black,3
74,YIPF4,black,3
75,TMF1,black,3
76,FBXO32,black,3
77,SLC40A1,black,3
78,SV2A,black,3
79,RAB22A,black,3
80,TM2D1,black,3
81,RTN1,black,3
82,MAPK8,black,3
83,PPP1R13B,black,3
84,EPHX4,black,3
85,TNPO2,black,3
86,CCND1,black,3
87,MGAT4A,black,3
88,SOSTDC1,black,3
89,SYT1,black,3
90,TMEM74B,black,3
91,SEMA3D,black,3
92,SLC20A2,black,3
93,TTPAL,black,3
94,ZNF597,black,3
95,CDK5RAP3,black,3
96,ARHGEF11,black,3
97,PLXNA3,black,3
98,PRDM11,black,3
99,KDSR,black,3
100,LPGAT1,black,3
101,CEP85L,black,3
102,RNF180,black,3
103,RAB21,black,3
104,ADAM19,black,3
105,LYPD6,black,3
106,SOX1,black,3
107,QKI,black,3
108,FAM8A1,black,3
109,SMIM14,black,3
110,BTBD10,black,3
111,NPAS2,black,3
112,SORT1,black,3
113,TMEM167A,black,3
114,NLK,black,3
115,SGK3,black,3
116,LPP,black,3
117,FAM102A,black,3
118,BSDC1,black,3
119,TRIM2,black,3
120,FAM91A1,black,3
121,SCN2A,black,3
122,MFAP3L,black,3
123,MYEF2,black,3
124,DKK3,black,3
125,RAB27B,black,3
126,STARD13,black,3
127,GRIN2B,black,3
128,PTGER4,black,3
129,ERGIC2,black,3
130,ADAMTSL5,black,3
131,AKAP11,black,3
132,ODF2L,black,3
133,NEGR1,black,3
134,SLC9A6,black,3
135,UBE2W,black,3
136,LIMA1,black,3
137,TUSC2,black,3
138,PLXNC1,black,3
139,NUDT4,black,3
140,SOX6,black,3
141,ST3GAL5,black,3
142,ERAP1,black,3
143,KIAA0513,black,3
144,GOLGA8A,black,3
145,MBOAT2,black,3
146,SLC12A2,black,3
147,DST,black,3
148,ATG2B,black,3
149,MMP16,black,3
150,ABCA1,black,3
151,LGALSL,black,3
152,ZER1,black,3
153,CDYL2,black,3
154,ZNF506,black,3
155,PTPRR,black,3
156,ZMYND11,black,3
157,SNCA,black,3
158,C20orf194,black,3
159,DOCK10,black,3
160,FNIP1,black,3
161,PRICKLE2,black,3
162,ARAP2,black,3
163,REEP5,black,3
164,TMEM30A,black,3
