"","p_val","avg_logFC","pct.1","pct.2","p_val_adj"
"Ttr",1.29918810187365e-113,Inf,1,0.99,2.64358794969251e-109
"Gm10076",1.31858735383136e-61,4.69149054880746,0.912,0.635,2.68306154757605e-57
"Uba52",4.94085630435098e-47,4.00003625452396,0.979,0.888,1.00536544080934e-42
"Gstp1",1.39317673458776e-41,10.6170751893011,0.998,0.977,2.83483601953917e-37
"Lars2",1.11158658343337e-34,-40.4256152371474,0.943,0.971,2.26185637997022e-30
"mt-Nd4",5.62937830704952e-33,-16.718950303565,0.983,0.979,1.14546589791844e-28
"mt-Nd4l",8.14923804417406e-27,11.5921819913401,0.992,0.95,1.65820695722854e-22
"Gm42418",3.67650928732221e-26,-Inf,1,1,7.48096109784323e-22
"Cbx3",2.21197710260172e-23,-2.18362390423331,0.705,0.846,4.50093100837399e-19
"Hist2h2aa1",6.01605097684447e-21,0.89079589071342,0.349,0.119,1.22414605276831e-16
"Hbb-bs",1.0138206526266e-19,-0.523240714215055,0.076,0.295,2.0629222639646e-15
"Sgk1",2.23848356106701e-19,4.06375508353227,0.985,0.917,4.55486635005915e-15
"Slc38a2",5.1366503964996e-19,1.1590813318478,0.928,0.987,1.04520562267974e-14
"Dync1i2",5.8941406037454e-19,-12.4542864449977,0.741,0.877,1.19933973005011e-14
"2900040C04Rik",3.63722259393746e-17,0.537740755527738,0.192,0.036,7.40102053414394e-13
"Gm47283",4.11349655420137e-15,-3.47886986703115,0.448,0.657,8.37014278848896e-11
"Nmt1",3.36107492857674e-14,-0.723848039427431,0.396,0.602,6.83911526466795e-10
"Calml4",6.81036901009557e-12,0.901681689122448,0.171,0.045,1.38577388617425e-07
"Malat1",3.00282537297415e-11,-Inf,1,1,6.11014906892781e-07
"Chchd10",4.61311783883428e-11,8.28694381794968,0.345,0.175,9.38677217845998e-07
"Dynll1",5.33740980814684e-11,-5.65522216100617,0.975,0.976,1.08605614776172e-06
"Hsp90ab1",7.49692371644964e-11,-11.9197659295702,1,0.997,1.52547403782317e-06
"Rpl35",1.29863191024389e-10,3.02176670806091,0.958,0.916,2.64245621096427e-06
"Pabpc1",1.55893377054545e-10,-1.1696462780283,0.461,0.625,3.17211843630589e-06
"Actb",4.17371997892412e-10,-21.7425206785121,1,0.998,8.49268541311481e-06
"Ttyh2",5.34064309078659e-10,-2.64802772514389,0.851,0.929,1.08671405611326e-05
"Mt3",1.08903605045754e-09,9.19807863545453,0.707,0.56,2.21597055547101e-05
"Chn2",1.96644454711029e-09,-2.15365004431894,0.819,0.894,4.00132136446002e-05
"Rbp1",2.13488779344143e-09,1.28470937181148,0.175,0.062,4.34406968209461e-05
"Pcp4l1",2.47550884011668e-09,1.24292530560706,0.141,0.041,5.03716538786943e-05
"Gprc5b",5.97000600896141e-09,-0.86997136597744,0.836,0.903,0.000121477682270347
"Rpl41",6.01341256583838e-09,2.50873592647995,0.985,0.992,0.000122360918889679
"Cdk2ap1",1.13045597245243e-08,-0.457745983123746,0.213,0.369,0.00023002518127462
"Mapt",1.73855210130873e-08,-1.358013915255,0.989,0.992,0.000353760581574301
"Bhlhe41",2.14932711107841e-08,-2.42224597891398,0.448,0.591,0.000437345080562235
"mt-Nd2",2.47879966749106e-08,-1.73029259375085,0.949,0.959,0.00050438615634108
"Ppt1",2.74250782291544e-08,-0.424558591085199,0.381,0.536,0.000558045491806834
"Dstn",3.00306690221396e-08,-0.47920445712565,0.88,0.904,0.000611064053262496
"Rps25",3.46144341313804e-08,-0.634307041099431,0.785,0.844,0.000704334505705328
"Cdkn1a",4.39951919107665e-08,2.90161584901668,0.145,0.05,0.000895214165000278
"Plp1",4.51936685098883e-08,-43.7400678412523,1,1,0.000919600766839207
"Ppp2r3a",5.3058297681761e-08,-0.865760434535439,0.651,0.755,0.00107963024122847
"Ldhb",6.12032274544264e-08,6.63694711696807,0.533,0.386,0.00124536327224267
"Dnaja1",6.3978748783171e-08,-4.09755933574667,0.916,0.945,0.00130183958023996
"Pdap1",7.51088151512596e-08,-0.432112068229883,0.608,0.719,0.00152831417069783
"1700063D05Rik",1.32198992776817e-07,-0.494154363804471,0.187,0.323,0.00268998510502268
"Pantr1",2.05726366122796e-07,-0.558086695283299,0.467,0.604,0.00418612009786666
"Mthfsl",3.14417624879802e-07,-0.35661683794147,0.291,0.437,0.00639776983105422
"mt-Atp8",3.39076772224878e-07,-7.33119543984,0.891,0.888,0.00689953416123182
"Btg1",3.8560058584171e-07,-0.652839798155172,0.259,0.398,0.00784620072070712
"Cfl2",3.8761447870338e-07,-0.478449505287372,0.794,0.88,0.00788717941265638
"Ubc",4.62206039487193e-07,11.2599322699332,0.96,0.925,0.0094049684914854
"Clk1",4.63272864066593e-07,-1.39172998033927,0.663,0.781,0.00942667623802703
"Hnrnpm",5.41258539498253e-07,-0.922817298637419,0.448,0.567,0.0110135287617104
"Ugt8a",6.68928936389526e-07,-4.01003470495345,0.962,0.977,0.0136113659976541
"Car14",8.38215079711105e-07,1.89880581449457,0.629,0.74,0.0170560004419616
"Psmc1",9.65335102718895e-07,-0.442410696608472,0.354,0.492,0.0196426386701241
"mt-Cytb",1.06146954430892e-06,-8.74008871244826,1,0.984,0.0215987822875979
"mt-Nd1",1.26727545587215e-06,-2.76915968749392,0.983,0.953,0.0257865209760865
"Polr3e",1.71754172698789e-06,4.57053802370354,0.575,0.502,0.0349485390607496
"Ikzf5",2.09807395217211e-06,-0.369925033238332,0.149,0.265,0.0426916087787982
"Cnot3",2.31886912546053e-06,-0.435310676422931,0.251,0.373,0.0471843489648708
"Hsp90aa1",2.36711837576507e-06,-59.7362668247076,0.998,0.998,0.0481661247100677
"Rhob",2.41805816176876e-06,-9.06507600443324,0.983,0.992,0.0492026474756707
"Ftl1",2.66622348853706e-06,-4.59839619986179,0.998,0.992,0.054252315544752
"Degs1",2.77373585535942e-06,-0.825160873916945,0.827,0.865,0.0564399771848534
"Hspa8",2.83250368034083e-06,-2.7907331305322,0.998,0.998,0.0576357848875752
"Ap2b1",3.12759507346907e-06,-0.445463717326334,0.331,0.456,0.0636403045549487
"4931406P16Rik",3.49715119748203e-06,-0.867459391533699,0.608,0.721,0.0711600325663644
"Sox10",4.31321400228857e-06,-0.763064807990199,0.931,0.955,0.0877652785185679
"Lmo4",4.54904081272683e-06,-0.384014619274485,0.175,0.291,0.0925638824573656
