"","p_val","avg_logFC","pct.1","pct.2","p_val_adj"
"Ttr",1.62100636600502e-88,Inf,1,0.989,3.29842375354702e-84
"Ntm",3.82101589258476e-58,-2.05102296872442,0.713,0.937,7.77500313823148e-54
"mt-Nd4",5.42390134644545e-27,-3.1607167996404,0.972,0.96,1.10365544597472e-22
"Lars2",7.48181416241267e-27,-7.81713828728132,0.787,0.937,1.52239954576773e-22
"mt-Nd4l",8.96314384765908e-27,34.7898087257498,0.987,0.922,1.82382051012167e-22
"Hbb-bs",4.64042653252961e-22,-61.691748666606,0.082,0.336,9.44233990839124e-18
"Gm10076",1.77872420816254e-17,4.42027938662444,0.351,0.118,3.61934801876913e-13
"Gm42418",5.42879471955182e-16,-68.9807891631764,1,1,1.1046511495344e-11
"Atp5e",6.69103889530675e-15,10.769654547693,0.621,0.391,1.36149259441702e-10
"Plp1",1.15857160866522e-14,-33.9807891665395,0.511,0.71,2.35746150931198e-10
"2900040C04Rik",3.94738710791481e-14,0.370476214658426,0.2,0.04,8.03214328718506e-10
"Slc38a2",5.48204065796803e-14,-3.83734517060839,0.498,0.689,1.11548563308333e-09
"Pcsk2",5.89857355061164e-14,-2.46006377006571,0.459,0.666,1.20024174607846e-09
"Vxn",3.53577335929432e-13,-1.12796016444095,0.304,0.499,7.19459163149208e-09
"Btg1",5.20873269196343e-12,-7.13295879170088,0.282,0.497,1.05987292816072e-07
"Ppt1",6.97058312274389e-12,-0.933693562743128,0.394,0.619,1.41837425381593e-07
"Mbp",7.68675531012404e-12,2.37209731111001,0.302,0.512,1.56410097050404e-07
"Clk1",8.22191276983354e-12,-1.585288128115,0.569,0.74,1.67299481040573e-07
"Cnp",9.8642883243739e-12,-21.5536030588821,0.289,0.497,2.0071853882436e-07
"Rbp1",1.37705221785751e-11,2.75809606731006,0.241,0.08,2.80202585289646e-07
"Chchd10",5.84282256569139e-11,7.50955199048978,0.336,0.154,1.18889753566688e-06
"Hba-a1",9.6825556420167e-11,-104.811709420252,0.017,0.127,1.97020642203756e-06
"Tcf4",1.064749746285e-10,-3.31986330180725,0.642,0.789,2.16655278374072e-06
"Grik4",2.87659444980574e-10,-0.269596783190407,0.065,0.205,5.85329438646471e-06
"Mal",3.68504243225508e-10,-5.07601696366368,0.114,0.277,7.49832434115265e-06
"Atp1a2",4.23307246099874e-10,3.00771524540088,0.825,0.875,8.61345584364023e-06
"Cox8a",4.36117325002154e-10,11.7235206614533,0.825,0.706,8.87411532914383e-06
"Gm47283",6.71947895894811e-10,-5.87229359991573,0.519,0.683,1.36727957856676e-05
"Qdpr",1.55537101816652e-09,-0.816887710273029,0.151,0.311,3.16486894776524e-05
"Cox8b",1.58221018234706e-09,1.75797594484917,0.114,0.017,3.2194812790398e-05
"Nrxn1",2.45922584700347e-09,-6.27746635644012,0.944,0.975,5.00403275348267e-05
"Pabpc1",8.73602508978419e-09,-1.16350117032399,0.14,0.292,0.000177760638526929
"Rnaset2a",1.04011225444217e-08,-0.284727200255879,0.08,0.211,0.000211642041533893
"Gm38039",1.0748757354451e-08,-0.715535067388586,0.17,0.326,0.000218715714648369
"Tmsb4x",1.37649644662214e-08,3.04995448624734,0.763,0.865,0.000280089496958673
"Gria2",1.57989568994139e-08,-8.53536647403023,0.849,0.886,0.000321477174989274
"Hnrnpm",1.60159336572677e-08,-0.640409299811723,0.188,0.34,0.000325892218058084
"Nrxn3",1.67235885442926e-08,-3.06177145609247,0.42,0.56,0.000340291579699266
"Lrp1",1.99909013998931e-08,-15.1574544244503,0.935,0.964,0.000406774861685025
"Kcnj10",2.38382777572866e-08,-2.33419263236858,0.317,0.467,0.000485061275805268
"Atp5g1",2.44104954319282e-08,8.16163210856547,0.444,0.283,0.000496704761048875
"Hist2h2aa1",3.64058365697703e-08,0.396827427435547,0.106,0.019,0.000740785962521686
"Uqcr11",4.28706961531339e-08,6.91592831237647,0.558,0.412,0.000872332925323968
"Atp5j",7.11109124213914e-08,6.07082368066094,0.519,0.364,0.00144696484595047
"Nmt1",7.24366294627935e-08,-0.336681957289448,0.185,0.334,0.00147394053630892
"Vcan",1.11286779175022e-07,-10.0096742514704,0.819,0.899,0.00226446338265334
