"","AD3_1.1","AD3_1.2","AD3_1.3","AD3_5.1","AD3_5.2","AD3_5.3","AD3_9.1","AD3_9.2","AD3_9.3","AD3_16.1","AD3_16.2","AD3_16.3","AD3_26.1","AD3_26.2","AD3_26.3","AD3_36.1","AD3_36.2","AD3_36.3"
"hsa-let-7a-2-3p",-0.631090574847244,-0.631090574847244,-0.631090574847244,-0.631090574847244,-0.631090574847244,-0.631090574847244,-0.631090574847244,-0.631090574847244,-0.631090574847244,-0.631090574847244,-0.631090574847244,-0.631090574847244,-0.631090574847244,2.24402633433143,2.47943534286054,1.81115630470122,2.19302432917929,2.58751284623534
"hsa-let-7a-3p",3.58712908083612,4.22874113530975,4.41017430460387,0.991202708967641,0.963836413517634,-0.631090574847244,-0.631090574847244,-0.631090574847244,-0.631090574847244,-0.631090574847244,1.56819106597546,-0.631090574847244,-0.631090574847244,-0.631090574847244,-0.631090574847244,0.882992105172624,0.9388517566936,1.45161951157851
"hsa-let-7a-5p",8.36888790484286,8.12783425090366,8.1720062807362,4.52494064467237,5.31058636970567,4.54558138597353,3.48153195884161,2.37252809343881,3.20794824177848,4.71287510460761,4.58230331252873,4.45975990222306,4.73824242863239,5.15923814214599,5.17637216277114,6.36265602917673,6.63063317128043,6.47699307922157
"hsa-let-7b-3p",1.73031123041947,1.87776542705206,-0.631090574847244,-0.631090574847244,-0.631090574847244,-0.631090574847244,-0.631090574847244,-0.631090574847244,-0.631090574847244,-0.631090574847244,-0.631090574847244,-0.631090574847244,-0.631090574847244,-0.631090574847244,-0.631090574847244,-0.631090574847244,-0.631090574847244,-0.631090574847244
"hsa-let-7b-5p",7.50842666969452,7.46014895435105,7.53006756291503,3.80201133640326,3.55215217659297,2.66011883265256,2.62802947732458,1.93641174745858,2.13557942962607,2.70482091478971,3.08755050864644,2.50090837236354,4.40335639736762,4.92749693813263,4.61639533523452,6.02577648222119,5.76552106964476,6.06024981826357
"hsa-let-7c-3p",-0.631090574847244,-0.631090574847244,-0.631090574847244,-0.631090574847244,-0.631090574847244,-0.631090574847244,-0.631090574847244,-0.631090574847244,-0.631090574847244,2.86443681011827,2.52489178792423,1.76117069079662,4.06489789545545,3.45566799441007,4.10890226043878,4.62299380629556,4.11155723891997,4.60994492923191
"hsa-let-7c-5p",7.16328008221269,6.79650669381281,7.14176836227348,4.78429215573689,4.15804530766616,5.1395146612155,5.94498579324343,5.87810336503651,5.85903237860997,9.71899991863251,9.81442014716294,9.52899744956468,11.9977843844744,12.0399256032568,12.4545139523316,12.8030828789254,12.8499323123734,13.1726957933019
"hsa-let-7d-3p",1.73031123041947,4.02223003857969,3.36978839642603,3.60067073579539,1.92609579274195,2.84357509367136,2.41817332235173,2.37252809343881,2.13557942962607,3.81912267794164,3.08755050864644,3.53876053527052,4.47685203529121,3.67169288599583,4.5282073008242,7.35135833456704,6.90888570144517,7.52398612826583
"hsa-let-7d-5p",6.259562082519,6.67836403902121,6.83235021966523,4.34347692997703,4.5830604220064,4.59714977542316,4.15333525264627,4.86048103599091,5.12327812422054,5.3161233426073,5.4268099608653,4.80387902592933,6.65442648660424,6.78073139621344,6.9969892308455,9.82145590168401,9.42891805510071,9.9938825023454
"hsa-let-7e-3p",1.73031123041947,1.24095167137887,-0.631090574847244,0.991202708967641,1.53256007068011,-0.631090574847244,-0.631090574847244,1.28881691820147,2.13557942962607,4.67064528049965,4.21000230224467,4.25098126378982,5.19532132003259,5.76263529322993,5.78291388937357,6.29270679989878,6.0116292781272,6.38354404329428
"hsa-let-7e-5p",8.34043123859273,8.2688273623594,8.39866588102375,6.92851396796994,7.03721256008307,7.35308903495676,7.78307913853703,7.91090533853047,7.86985798184686,11.9652501470744,12.1294437807274,11.7949137011197,13.2950625328189,13.3864986961863,13.8527155785419,13.9813294763535,13.9509692044958,14.2720324050469
"hsa-let-7f-1-3p",1.73031123041947,2.30826856112321,2.27492862195393,1.5670910519583,1.53256007068011,1.89810658242292,0.924505602417205,1.28881691820147,0.9011427415055,1.78168062210888,1.56819106597546,0.848187312595596,1.14240869204623,2.8912914706167,2.03435058328147,3.29523365450523,1.8907466128176,2.58751284623534
